"AUSTIN, TX",AUS,"NEW YORK/NEWARK, NJ",EWR,12:31 PM,05:18 PM,3h47m,1173,73G
"AUSTIN, TX",AUS,"NEW YORK/NEWARK, NJ",EWR,04:08 PM,08:56 PM,3h48m,1451,739
"AUSTIN, TX",AUS,"SAN FRANCISCO, CA",SFO,07:20 AM,09:18 AM,3h58m,358,319
"AUSTIN, TX",AUS,"SAN FRANCISCO, CA",SFO,07:29 AM,09:19 AM,3h50m,1161,73G
"AUSTIN, TX",AUS,"SAN FRANCISCO, CA",SFO,07:40 AM,09:46 AM,4h06m,1273,738
"AUSTIN, TX",AUS,"SAN FRANCISCO, CA",SFO,02:50 PM,04:47 PM,3h57m,614,319
"AUSTIN, TX",AUS,"SAN FRANCISCO, CA",SFO,02:58 PM,05:00 PM,4h02m,1591,73G
"AUSTIN, TX",AUS,"SAN FRANCISCO, CA",SFO,04:00 PM,06:00 PM,4h00m,358,320
"AUSTIN, TX",AUS,"SAN FRANCISCO, CA",SFO,04:00 PM,06:00 PM,4h00m,1591,320
"AUSTIN, TX",AUS,"SAN FRANCISCO, CA",SFO,06:08 PM,08:23 PM,4h15m,455,319
"AUSTIN, TX",AUS,"SAN FRANCISCO, CA",SFO,06:16 PM,08:05 PM,3h49m,1450,738
"AUSTIN, TX",AUS,"SAN FRANCISCO, CA",SFO,07:23 PM,09:12 PM,3h49m,1450,738
"AUSTIN, TX",AUS,"WASHINGTON, DC",IAD,07:18 AM,11:20 AM,3h02m,1709,320
"BAHRAIN-MANAMA CITY, BAHRAIN",BAH,"KUWAIT CITY, KUWAIT",KWI,09:15 PM,10:25 PM,1h10m,981,777
"BALTIMORE/ WASHINGTON, MD",BWI,"CHICAGO, IL",ORD,06:19 AM,07:29 AM,2h10m,635,738
"BALTIMORE/ WASHINGTON, MD",BWI,"CHICAGO, IL",ORD,07:00 AM,08:00 AM,2h00m,1401,739
"BALTIMORE/ WASHINGTON, MD",BWI,"CHICAGO, IL",ORD,10:11 AM,11:22 AM,2h11m,310,320
"BALTIMORE/ WASHINGTON, MD",BWI,"CHICAGO, IL",ORD,10:17 AM,11:24 AM,2h07m,1586,738
"BALTIMORE/ WASHINGTON, MD",BWI,"CHICAGO, IL",ORD,12:54 PM,02:05 PM,2h11m,395,319
"BALTIMORE/ WASHINGTON, MD",BWI,"CHICAGO, IL",ORD,01:01 PM,02:05 PM,2h04m,1160,73G
"BALTIMORE/ WASHINGTON, MD",BWI,"CHICAGO, IL",ORD,04:40 PM,05:52 PM,2h12m,473,738
"BALTIMORE/ WASHINGTON, MD",BWI,"CHICAGO, IL",ORD,05:05 PM,06:15 PM,2h10m,1652,738
"BALTIMORE/ WASHINGTON, MD",BWI,"CHICAGO, IL",ORD,05:08 PM,06:18 PM,2h10m,1525,739
"BALTIMORE/ WASHINGTON, MD",BWI,"CHICAGO, IL",ORD,05:32 PM,06:43 PM,2h11m,465,320
"BALTIMORE/ WASHINGTON, MD",BWI,"DENVER, CO",DEN,08:10 AM,10:20 AM,4h10m,270,739
"BALTIMORE/ WASHINGTON, MD",BWI,"DENVER, CO",DEN,08:17 AM,10:20 AM,4h03m,1633,739
"BALTIMORE/ WASHINGTON, MD",BWI,"DENVER, CO",DEN,04:01 PM,06:11 PM,4h10m,367,738
"BALTIMORE/ WASHINGTON, MD",BWI,"DENVER, CO",DEN,04:16 PM,06:14 PM,3h58m,1908,738
"BALTIMORE/ WASHINGTON, MD",BWI,"HOUSTON, TX",IAH,05:45 AM,08:01 AM,3h16m,329,320
"BALTIMORE/ WASHINGTON, MD",BWI,"HOUSTON, TX",IAH,05:45 AM,08:02 AM,3h17m,1658,738
"BALTIMORE/ WASHINGTON, MD",BWI,"HOUSTON, TX",IAH,05:50 AM,08:21 AM,3h31m,1032,738
"BALTIMORE/ WASHINGTON, MD",BWI,"HOUSTON, TX",IAH,05:50 AM,08:20 AM,3h30m,1408,320
"BALTIMORE/ WASHINGTON, MD",BWI,"HOUSTON, TX",IAH,05:50 AM,08:21 AM,3h31m,1460,738
"BALTIMORE/ WASHINGTON, MD",BWI,"HOUSTON, TX",IAH,05:50 AM,08:20 AM,3h30m,1491,320
"BALTIMORE/ WASHINGTON, MD",BWI,"HOUSTON, TX",IAH,05:50 AM,08:20 AM,3h30m,1557,320
"BALTIMORE/ WASHINGTON, MD",BWI,"HOUSTON, TX",IAH,05:50 AM,08:20 AM,3h30m,1920,320
"BALTIMORE/ WASHINGTON, MD",BWI,"HOUSTON, TX",IAH,07:10 AM,09:40 AM,3h30m,1491,320
"BALTIMORE/ WASHINGTON, MD",BWI,"HOUSTON, TX",IAH,07:11 AM,09:42 AM,3h31m,1408,739
"BALTIMORE/ WASHINGTON, MD",BWI,"HOUSTON, TX",IAH,08:05 AM,10:35 AM,3h30m,1055,320
"BALTIMORE/ WASHINGTON, MD",BWI,"HOUSTON, TX",IAH,08:05 AM,10:35 AM,3h30m,1920,320
"BALTIMORE/ WASHINGTON, MD",BWI,"HOUSTON, TX",IAH,09:54 AM,12:32 PM,3h38m,1920,739
"BALTIMORE/ WASHINGTON, MD",BWI,"HOUSTON, TX",IAH,10:31 AM,01:08 PM,3h37m,1920,320
"BALTIMORE/ WASHINGTON, MD",BWI,"HOUSTON, TX",IAH,05:45 PM,08:13 PM,3h28m,1411,739
"BALTIMORE/ WASHINGTON, MD",BWI,"HOUSTON, TX",IAH,06:17 PM,08:35 PM,3h18m,245,320
"BALTIMORE/ WASHINGTON, MD",BWI,"LOS ANGELES, CA",LAX,06:15 PM,09:19 PM,6h04m,307,739
"BALTIMORE/ WASHINGTON, MD",BWI,"LOS ANGELES, CA",LAX,06:28 PM,09:08 PM,5h40m,1477,738
"BALTIMORE/ WASHINGTON, MD",BWI,"LOS ANGELES, CA",LAX,06:55 PM,09:35 PM,5h40m,1248,739
"BALTIMORE/ WASHINGTON, MD",BWI,"SAN FRANCISCO, CA",SFO,06:00 AM,08:51 AM,5h51m,330,320
"BALTIMORE/ WASHINGTON, MD",BWI,"SAN FRANCISCO, CA",SFO,06:00 AM,08:53 AM,5h53m,1273,738
"BALTIMORE/ WASHINGTON, MD",BWI,"SAN FRANCISCO, CA",SFO,06:00 AM,08:53 AM,5h53m,1998,739
"BALTIMORE/ WASHINGTON, MD",BWI,"SAN FRANCISCO, CA",SFO,06:30 AM,09:42 AM,6h12m,753,319
"BARCELONA, SPAIN",BCN,"NEW YORK/NEWARK, NJ",EWR,10:40 AM,02:55 PM,9h15m,121,764
"BEIJING, PEOPLE'S REPUBLIC OF CHINA",PEK,"CHICAGO, IL",ORD,04:10 PM,04:15 PM,13h05m,850,777
"BEIJING, PEOPLE'S REPUBLIC OF CHINA",PEK,"CHICAGO, IL",ORD,05:25 PM,04:30 PM,12h05m,850,777
"HONOLULU, OAHU, HI",HNL,"NEW YORK/NEWARK, NJ",EWR,03:45 PM,05:20 PM,13h35m,88,777
"HONOLULU, OAHU, HI",HNL,"NEW YORK/NEWARK, NJ",EWR,05:00 PM,06:50 PM,13h50m,88,777
"HONOLULU, OAHU, HI",HNL,"SAN FRANCISCO, CA",SFO,12:00 PM,08:45 AM,11h45m,888,744
"HONOLULU, OAHU, HI",HNL,"SAN FRANCISCO, CA",SFO,01:40 PM,10:10 AM,11h30m,888,744
"BEIJING, PEOPLE'S REPUBLIC OF CHINA",PEK,"WASHINGTON, DC",IAD,06:25 PM,08:05 PM,13h40m,808,777
"BELFAST, NORTHERN IRELAND",BFS,"NEW YORK/NEWARK, NJ",EWR,10:10 AM,02:00 PM,8h50m,76,752
"BELIZE CITY, BELIZE",BZE,"HOUSTON, TX",IAH,11:06 AM,02:38 PM,2h32m,1478,739
"BELIZE CITY, BELIZE",BZE,"HOUSTON, TX",IAH,12:17 PM,02:55 PM,1h38m,1478,73G
"BELIZE CITY, BELIZE",BZE,"HOUSTON, TX",IAH,12:56 PM,04:34 PM,2h38m,1405,739
"BELIZE CITY, BELIZE",BZE,"HOUSTON, TX",IAH,02:00 PM,04:35 PM,1h35m,1405,739
"BELIZE CITY, BELIZE",BZE,"HOUSTON, TX",IAH,03:30 PM,07:02 PM,2h32m,1406,738
"BELIZE CITY, BELIZE",BZE,"HOUSTON, TX",IAH,04:45 PM,07:23 PM,2h38m,1406,739
"BERLIN, GERMANY",TXL,"NEW YORK/NEWARK, NJ",EWR,09:40 AM,12:50 PM,9h10m,963,763
"BERMUDA-HAMILTON, BERMUDA",BDA,"NEW YORK/NEWARK, NJ",EWR,03:45 PM,05:25 PM,2h40m,1416,738
"BILLINGS, MT",BIL,"DENVER, CO",DEN,05:35 AM,07:05 AM,1h30m,1218,738
"BILLINGS, MT",BIL,"DENVER, CO",DEN,05:42 AM,07:12 AM,1h30m,377,319
"BILLINGS, MT",BIL,"DENVER, CO",DEN,07:20 AM,08:52 AM,1h32m,377,320
"BILLINGS, MT",BIL,"DENVER, CO",DEN,07:20 AM,08:53 AM,1h33m,1137,738
"BILLINGS, MT",BIL,"DENVER, CO",DEN,01:24 PM,02:55 PM,1h31m,406,319
"BILLINGS, MT",BIL,"DENVER, CO",DEN,01:42 PM,03:15 PM,1h33m,1218,738
"BILLINGS, MT",BIL,"DENVER, CO",DEN,01:53 PM,03:26 PM,1h33m,712,319
"BILLINGS, MT",BIL,"DENVER, CO",DEN,05:35 PM,07:10 PM,1h35m,771,319
"BIRMINGHAM, ENGLAND",BHX,"NEW YORK/NEWARK, NJ",EWR,08:00 AM,12:20 PM,9h20m,26,752
"BOGOTA, COLOMBIA",BOG,"HOUSTON, TX",IAH,12:14 AM,05:34 AM,5h20m,1006,752
"BOGOTA, COLOMBIA",BOG,"HOUSTON, TX",IAH,07:50 AM,01:10 PM,5h20m,1008,738
"BOGOTA, COLOMBIA",BOG,"NEW YORK/NEWARK, NJ",EWR,08:48 AM,03:53 PM,6h05m,1069,73G
"BOISE, ID",BOI,"DENVER, CO",DEN,06:00 AM,07:51 AM,1h51m,833,738
"BOISE, ID",BOI,"DENVER, CO",DEN,07:05 AM,08:56 AM,1h51m,833,738
"BOISE, ID",BOI,"DENVER, CO",DEN,07:05 AM,08:56 AM,1h51m,1584,738
"BOISE, ID",BOI,"DENVER, CO",DEN,07:05 AM,08:56 AM,1h51m,1707,738
"BOISE, ID",BOI,"DENVER, CO",DEN,07:10 AM,08:58 AM,1h48m,1283,738
"BOISE, ID",BOI,"DENVER, CO",DEN,02:21 PM,04:20 PM,1h59m,1707,738
"BOISE, ID",BOI,"DENVER, CO",DEN,02:25 PM,04:19 PM,1h54m,592,738
"BONAIRE, NETHERLANDS ANTILLES",BON,"HOUSTON, TX",IAH,07:30 AM,11:30 AM,5h00m,1401,739
"BONAIRE, NETHERLANDS ANTILLES",BON,"NEW YORK/NEWARK, NJ",EWR,02:30 PM,07:40 PM,5h10m,1420,738
"BOSTON, MA",BOS,"CHICAGO, IL",ORD,05:20 AM,06:59 AM,2h39m,1975,739
"BOSTON, MA",BOS,"CHICAGO, IL",ORD,05:50 AM,07:48 AM,2h58m,203,739
"BOSTON, MA",BOS,"CHICAGO, IL",ORD,06:00 AM,07:58 AM,2h58m,449,739
"BOSTON, MA",BOS,"CHICAGO, IL",ORD,06:15 AM,07:54 AM,2h39m,1591,739
"BOSTON, MA",BOS,"CHICAGO, IL",ORD,07:00 AM,08:58 AM,2h58m,1537,739
"BOSTON, MA",BOS,"CHICAGO, IL",ORD,08:03 AM,09:47 AM,2h44m,1251,739
"BOSTON, MA",BOS,"CHICAGO, IL",ORD,08:30 AM,10:18 AM,2h48m,449,320
"BOSTON, MA",BOS,"CHICAGO, IL",ORD,09:00 AM,10:45 AM,2h45m,1464,739
"BOSTON, MA",BOS,"CHICAGO, IL",ORD,09:24 AM,11:22 AM,2h58m,775,320
"BOSTON, MA",BOS,"CHICAGO, IL",ORD,09:45 AM,11:24 AM,2h39m,449,319
